Name,Ticker_Symbol
BTC,bitcoin
ETH,ethereum
BNB,binance-coin
DOGE,dogecoin
XRP,xrp
USDT,tether
ADA,cardano
DOT,polkadot-new
LTC,litecoin
UNI,uniswap
BCH,bitcoin-cash
LINK,chainlink
USDC,usd-coin
XLM,stellar
VET,vechain
SOL,solana
THETA,theta
FIL,filecoin
WBTC,wrapped-bitcoin
TRX,tron
ETC,ethereum-classic
NEO,neo
BSV,bitcoin-sv
XMR,monero
EOS,eos
BUSD,binance-usd
LUNA,terra-luna
CAKE,pancakeswap
AAVE,aave
KLAY,klaytn
MIOTA,iota
MKR,maker
FTT,ftx-token
XTZ,tezos
ATOM,cosmos
BTT,bittorrent
HT,huobi-token
CRO,crypto-com-coin
RUNE,thorchain
AVAX,avalanche
DAI,multi-collateral-dai
ALGO,algorand
MATIC,polygon
DASH,dash
COMP,compound
WAVES,waves
KSM,kusama
EGLD,elrond-egld
ZEC,zcash
BTCB,bitcoin-bep2
XEM,nem
CHZ,chiliz
DCR,decred
HOT,holo
HBAR,hedera-hashgraph
LEO,unus-sed-leo
ZIL,zilliqa
STX,stacks
OKB,okb
MANA,decentraland
DGB,digibyte
ENJ,enjin-coin
NEXO,nexo
BTG,bitcoin-gold
FTM,fantom
SNX,synthetix-network-token
UST,terrausd
TFUEL,theta-fuel
YFI,yearn-finance
GRT,the-graph
SC,siacoin
BAT,basic-attention-token
NEAR,near-protocol
SUSHI,sushiswap
ONT,ontology
UMA,uma
QTUM,qtum
RVN,ravencoin
CHSB,swissborg
CEL,celsius
HNT,helium
ICX,icon
ZRX,0x
OMG,omg
NANO,nano
BNT,bancor
ONE,harmony
ZEN,horizen
TEL,telcoin
BAKE,bakerytoken
CELO,celo
XVS,venus
KCS,kucoin-token
ANKR,ankr
TUSD,trueusd
RSR,reserve-rights
FLOW,flow
REV,revain
XVG,verge
IOST,iostoken
DENT,dent
VGX,voyager-token
REN,ren
PAX,paxos-standard
1INCH,1inch
AR,arweave
CRV,curve-dao-token
CFX,conflux-network
LSK,lisk
PROM,prometeus
WRX,wazirx
RENBTC,renbtc
HUSD,husd
CKB,nervos-network
BTMX,bitmax-token
LRC,loopring
VTHO,vethor-token
ABBC,abbc-coin
KNC,kyber-network-crystal-legacy
LPT,livepeer
SNT,status
MDX,mdex
OCEAN,ocean-protocol
BTCST,btc-standard-hashrate-token
BCD,bitcoin-diamond
STORJ,storj
SRM,serum
IOTX,iotex
REEF,reef
OGN,origin-protocol
ALPHA,alpha-finance-lab
QNT,quant
GLM,golem-network-tokens
BAL,balancer
STMX,stormx
INJ,injective-protocol
REP,augur
SXP,swipe
GT,gatetoken
ZKS,zkswap
UTK,utrust
FET,fetch
SYS,syscoin
EWT,energy-web-token
SAND,the-sandbox
DODO,dodo
NKN,nkn
WAXP,wax
SKL,skale-network
MCO,crypto-com
STRAX,stratis
FUN,funtoken
BAND,band-protocol
MAID,maidsafecoin
WIN,wink
BTS,bitshares
CVC,civic
GNO,gnosis-gno
USDN,neutrino-usd
KAVA,kava
ARDR,ardor
KIN,kin
ANT,aragon
WOO,wootrade
CELR,celer-network
XHV,haven-protocol
AGI,singularitynet
RLC,rlc
SWAP,trustswap
MED,medibloc
KMD,komodo
NMR,numeraire
STEEM,steem
NU,nucypher
CTSI,cartesi
BTM,bytom
UBT,unibright
SNM,sonm
JST,just
ORBS,orbs
HNS,handshake
UQC,uquid-coin
WAN,wanchain
BADGER,badger-dao
VLX,velas
AMPL,ampleforth
AVA,travala
SCRT,secret
ALICE,myneighboralice
MTL,metal
ROSE,oasis-network
PPT,populous
ARK,ark
COTI,coti
ONG,ontology-gas
ZB,zb-token
TOMO,tomochain
HIVE,hive-blockchain
META,metadium
OXT,orchid
